"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"35992_JG-233"	"not cataloged"	"1"	"B-1"	"3"	"Vicia hassei"	"3"
"35992_JG-234"	"not cataloged"	"1"	"B-1"	"3"	"Aristolochia californica"	"0.5"
"35992_JG-235"	"not cataloged"	"1"	"B-1"	"3"	"Bone"	"1"
"35992_JG-236"	"not cataloged"	"1"	"B-1"	"3"	"Datura wrightii"	"1"
"35989_JG-237"	"not cataloged"	"1"	"B-1"	"3"	"Heteromeles arbutifolia"	"1"
"35989_JG-238"	"LACMP23-37515"	"1"	"A-2"	"4"	"Juniperus californica"	"3"
"35989_JG-239"	"LACMP23-37516"	"1"	"A-2"	"4"	"Juniperus sp."	"13"
"35989_JG-240"	"LACMP23-37517"	"1"	"A-2"	"4"	"Juniperus sp."	"22"
"35989_JG-241"	"not cataloged"	"1"	"A-2"	"4"	"Sambucus nigra"	"1"
"35989_JG-242"	"not cataloged"	"1"	"A-2"	"4"	"Cyperaceae"	"1"
"35989_JG-243"	"LACMP23-37518"	"1"	"A-2"	"4"	"Juniperus californica"	"17"
"35993_JG-244"	"LACMP23-37519"	"1"	"B-1"	"4"	"Quercus dumosa"	"0.5"
"35993_JG-245"	"LACMP23-37520"	"1"	"B-1"	"4"	"Juniperus californica"	"1"
"35993_JG-246"	"LACMP23-37521"	"1"	"B-1"	"4"	"Charcoal"	"1"
"35993_JG-247"	"not cataloged"	"1"	"B-1"	"4"	"Rock"	"1"
"35993_JG-248"	"LACMP23-37522"	"1"	"B-1"	"4"	"Juniperus sp."	"51"
"35993_JG-249"	"LACMP23-37523"	"1"	"B-1"	"4"	"Juniperus sp."	"35"
"35993_JG-250"	"not cataloged"	"1"	"B-1"	"4"	"Wood"	"1"
"35993_JG-251"	"not cataloged"	"1"	"B-1"	"4"	"Pinus ponderosa"	"1"
"35993_JG-252"	"not cataloged"	"1"	"B-1"	"4"	"Wood"	"1"
