"Museum_Number"	"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"prelim_taxon_name"	"box"	"misc"
"98"	"LACMP23-28184"	"NSF-16-90"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"99"	"LACMP23-28185"	"NSF-16-91"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	NA	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"100"	"LACMP23-28186"	"NSF-16-92"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp"	"Peromyscus sp"	"1"	"n"
"101"	"LACMP23-28187"	"NSF-16-93"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"102"	"LACMP23-28188"	"NSF-16-94"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"103"	"LACMP23-28189"	"NSF-16-95"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"104"	"LACMP23-28190"	"NSF-16-96"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	"sp"	"cf Peromyscus sp"	"1"	"n"
"105"	"LACMP23-28191"	"NSF-16-97"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"106"	"LACMP23-28192"	"NSF-16-98"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"107"	"LACMP23-28193"	"NSF-16-99"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	"Xerinae"	"?Otospermophilus"	"beecheyi"	"?Otospermophilus beecheyi"	"1"	"n"
"108"	"LACMP23-28194"	"NSF-16-100"	"A2/L3"	"Mammalia"	"??"	NA	NA	NA	NA	"Mammalia-??"	"1"	"n"
"109"	"LACMP23-28195"	"NSF-16-101"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"110"	"LACMP23-28196"	"NSF-16-102"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"111"	"LACMP23-28197"	"NSF-16-103"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"112"	"LACMP23-28198"	"NSF-16-104"	"A2/L3"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"Thomomys sp"	"1"	"n"
"113"	"LACMP23-28224"	"NSF-16-105"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"114"	"LACMP23-28199"	"NSF-16-106"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"115"	"LACMP23-28200"	"NSF-16-107"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"116"	"LACMP23-28201"	"NSF-16-108"	"A2/L3"	"Mammalia"	"Rodentia"	"Geomyidae"	"Thomomyinae"	"Thomomys"	"sp"	"Thomomys sp"	"1"	"n"
"117"	"LACMP23-28202"	"NSF-16-109"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"118"	"LACMP23-28203"	"NSF-16-110"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"119"	"LACMP23-28204"	"NSF-16-111"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	NA	NA	"Mammalia-Rodentia"	"1"	"n"
"120"	"LACMP23-28205"	"NSF-16-112"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	"sp"	"cf Peromyscus sp"	"1"	"n"
"121"	"LACMP23-28347"	"NSF-16-114"	"B2/L3"	"Mammalia"	"Carnivora"	"Canidae"	NA	"Canis"	"cf dirus"	"Canis cf dirus"	"1"	"n"
"122"	"LACMP23-28225"	"NSF-16-115"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"californicus"	"Microtus californicus"	"1"	"n"
"123"	"LACMP23-28226"	"NSF-16-116"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"californicus"	"Microtus californicus"	"1"	"n"
"124"	"LACMP23-28227"	"NSF-16-117"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf Microtus"	"sp"	"cf Microtus sp"	"1"	"n"
"125"	"LACMP23-28228"	"NSF-16-118a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"126"	"LACMP23-28229"	"NSF-16-118b"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"127"	"LACMP23-28230"	"NSF-16-118c"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"128"	"LACMP23-28231"	"NSF-16-118d"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"129"	"LACMP23-28232"	"NSF-16-118e"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"130"	"LACMP23-28233"	"NSF-16-118f"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"131"	"LACMP23-28234"	"NSF-16-118g"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"132"	"LACMP23-28235"	"NSF-16-118h"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"133"	"LACMP23-28236"	"NSF-16-118i"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"?Sylvilagus"	"sp"	"?Sylvilagus sp"	"1"	"n"
"134"	"LACMP23-28237"	"NSF-16-119"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"cf maniculatus"	"Peromyscus cf maniculatus"	"1"	"n"
"135"	"LACMP23-28238"	"NSF-16-120"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"cf californicus"	"Peromyscus cf californicus"	"1"	"n"
"136"	"LACMP23-28239"	"NSF-16-121"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"137"	"LACMP23-28240"	"NSF-16-122"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp"	"Microtus sp"	"1"	"n"
"138"	"LACMP23-28241"	"NSF-16-123a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
