NSF Number	Grid/Level	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	Museum_Number	prelim_taxon_name	element
NSF-19-159	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			rt maxillary frag					
NSF-19-160	A2/L1	Mammalia	Carnivora					molar frag					
NSF-19-161	A2/L1	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	lower lt p4					
NSF-19-162	A2/L1	Mammalia	Rodentia	Sciuridae				lower p4 frag					
NSF-19-163	A2/L1	Mammalia	Rodentia	cf Sciuridae				tooth frag					
NSF-19-164	A2/L1	Mammalia	Eulipotyphla	Soricidae	Soricinae			posterior lt dentary w/ m2					
NSF-19-165	A2/L1	Mammalia	Rodentia	cf Sciuridae				tooth frag					
NSF-19-166	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt tooth					
NSF-19-167	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower lt tooth					
NSF-19-168	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper rt P2					
NSF-19-169	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-170	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt p3					
NSF-19-171	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-172	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-173	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-174	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-175	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	maxillay frag					
NSF-19-176	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lt maxillary frag					
NSF-19-177	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-178	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-179	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	cf Sylvilagus		tooth frag					
NSF-19-180	B2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	cf Sylvilagus		tooth frag					
NSF-19-181	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Neotoma		molar frag					
NSF-19-182	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	upper lt M1/M2					
NSF-19-183	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	upper rt M1/M2					
NSF-19-184	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	upper lt M3					
NSF-19-185	B2/L1	Mammalia	Rodentia	Sciuridae				upper tooth frag					
NSF-19-186	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	cf Otospermophilus	beecheyi	partial lt dentary	no teeth				
NSF-19-187	B2/L1	Mammalia	Rodentia	cf Sciuridae				lower tooth frag					
NSF-19-188	B2/L1	Mammalia	Rodentia	cf Sciuridae				lower tooth frag					
NSF-19-189	B2/L1	Mammalia	Rodentia	Geomyidae		cf Thomomys		molar	juv				
NSF-19-190	B2/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	lower molar					
NSF-19-191	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv				
NSF-19-192	B2/L1	Mammalia	Rodentia	cf Geomyidae		cf Thomomys		tooth	juv				
NSF-19-193	B2/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	lower p4	juv?				
NSF-19-194	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv				
NSF-19-195	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-196	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-197	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-198	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-199	B2/L1	Mammalia	Carnivora					upper canine					
NSF-19-200	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper right M1	accessory loph 				
NSF-19-201	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2					
NSF-19-202	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper lt M1					
NSF-19-203	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2					
NSF-19-204	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		lower lt m1	grade 1+, surface covered				
NSF-19-205	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	grade 1				
NSF-19-206	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		lower rt m1	grade 0				
NSF-19-207	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	grade 1				
NSF-19-208	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2					
NSF-19-209	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2					
NSF-19-210	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper lt M1					
NSF-19-211	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2					
NSF-19-212	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2					
NSF-19-213	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lt maxillary frag					
NSF-19-214	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Reithrodontomys	cf megalotis	lower rt m1	grade 1				
NSF-19-215	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2	juv?				
NSF-19-216	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph				
NSF-19-217	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		lower lt m1	grade 0-1				
NSF-19-218	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2	juv?				
NSF-19-219	B3/L1	Mammalia	Rodentia					rt anterior dentary frag					
NSF-19-220	B3/L1	Mammalia	Carnivora					lower rt m1					
NSF-19-221	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1					
NSF-19-222	B3/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	lower rt p4					
NSF-19-223	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv				
NSF-19-224	B3/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	molar					
NSF-19-225	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-226	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag					
NSF-19-227	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag					
NSF-19-228	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	tooth frag					
NSF-19-229	B3/L1	Mammalia	Rodentia	Sciuridae				lower rt p4	small for beecheyi				
NSF-19-230	B3/L1	Mammalia	Rodentia	Sciuridae				lower rt p4	small for beecheyi				
NSF-19-231	B3/L1	Mammalia	Rodentia	Sciuridae				lower molar frag					
NSF-19-232	B3/L1	Mammalia	Rodentia	Sciuridae				lower tooth frag					
NSF-19-233	B3/L1	Mammalia	Rodentia	cf Sciuridae				tooth frag					
NSF-19-234	B3/L1	Mammalia	cf Rodentia					lt anterior dentary frag					
