Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-158	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	partial rt dentary		7/29/2019	y														
	NSF-19-159	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	rt maxilla frag		7/29/2019	y														
	NSF-19-160	A2/L1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt P4 frag		7/29/2019	y														
	NSF-19-161	A2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lower lt p4			y														
	NSF-19-162	A2/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower p4 frag			y														
	NSF-19-163	A2/L1	Mammalia	Rodentia	?Sciuridae				tooth frag			y														
	NSF-19-164	A2/L1	Mammalia	Eulipotyphla	Soricidae	Soricinae			posterior lt dentary w/ m2			y														
	NSF-19-165	A2/L1	Mammalia	Rodentia	?Sciuridae				tooth frag			y														
	NSF-19-166	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-167	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-168	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt P2			y														
	NSF-19-169	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-170	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt p3			y														
	NSF-19-171	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-172	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-173	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-174	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-175	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	maxillay frag			y														
	NSF-19-176	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt maxillary frag			y														
	NSF-19-177	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-178	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-179	B2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y														
	NSF-19-180	B2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y														
	NSF-19-181	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Neotoma	sp	molar frag			y														
	NSF-19-182	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper lt M1/M2			y														
	NSF-19-183	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper rt M1/M2			y														
	NSF-19-184	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	upper lt M3			y														
	NSF-19-185	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y														
	NSF-19-186	B2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	partial lt dentary	no teeth		y														
	NSF-19-187	B2/L1	Mammalia	Rodentia	?Sciuridae				lower tooth frag			y														
	NSF-19-188	B2/L1	Mammalia	Rodentia	?Sciuridae				lower tooth frag			y														
	NSF-19-189	B2/L1	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	molar	juv		y														
	NSF-19-190	B2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower molar			y														
	NSF-19-191	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y														
	NSF-19-192	B2/L1	Mammalia	Rodentia	?Geomyidae				tooth	juv	2/5/2019	y														
	NSF-19-193	B2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4	juv?		y														
	NSF-19-194	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y														
	NSF-19-195	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-196	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-197	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-198	B2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y														
	NSF-19-199	B2/L1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	upper rt C1		7/29/2019	y														
	NSF-19-200	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	small accessory loph	7/29/2019	y														
